(19d9,4ba7) 1 2d0f62ed76f0b65130b536c9ecf8aad2c8997ac9196595b5db04e82c9033bae2 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(3b,179) (4417,8ee5) #83#11e#11e#52#f3#a4#142#149#149#146#2e#
(c13,e03) (ad,ab7) #896#c0b#3b0#69#c0b#752#948#99e#
(445,5ed) (ad,ab7) #4a4#3c#426#5ea#3c#3e2#46e#42a#
(3147,3e3b) (4417,8ee5) #3bde#eff#eff#b0e#2ae5#34f1#3400#1032#1032#8c6#2aa9#
(bbf,ef3) (4229,e0ff) #6a4#a21#de#de#d7f#3de#61d#665#b95#b95#462#
(65d,36a3) (ad,ab7) #26e3#23ee#3491#849#23ee#2724#b4c#1ad3#
(41b,abb) (ad,ab7) #147#2ff#1ac#326#2ff#dd#23b#3d8#
(12f7,1d93) (949,267d) #1a3b#dcf#b28#dcf#15b3#5fb#95a#1924#7a#10e0#
(9e5,3ccb) (949,267d) #16df#2033#1363#2033#362#1d99#2deb#39c#18b8#26f3#
(bde1,d987) (4417,8ee5) #c6a7#102b#102b#cd9b#42f2#c07e#9732#431c#431c#7f8f#b0e9#
(bb9,1409) (949,267d) #562#13f7#1b7#13f7#1c3#bff#11c3#77d#83#74a#
(8bf,1ccd) (949,267d) #1493#1575#1b71#1575#1006#e7#603#bb3#1225#45#
(32ef,3739) (ad,ab7) #1d1c#1e7a#1ae9#1a69#1e7a#183d#33d6#32a3#
(ad,ab7) (949,267d) #38f#77c#a35#77c#755#3fd#32c#11a#6eb#2f8#
(5b67,5c9f) (4229,e0ff) #14d7#1c8#10ac#10ac#1a0#12f2#495d#1ee#bce#bce#31b3#
(197,29f) (4417,8ee5) #5a#171#171#19b#1ce#f2#198#97#97#24a#1df#
(d63,7a4d) (4417,8ee5) #4d0e#405#405#61ed#efb#3ae9#6f75#655#655#3c9f#7661#
(5b1,1295) (4417,8ee5) #5db#35#35#981#22f#e01#10e7#11de#11de#1161#a25#
