(1aa7,2a7d) 3 10d43aae9949f12adc648e90e7acce6f4973c7c91e1b5eb797ac634d0ff9616f 7ae79e81c07ac906e5ede6dc571c9d237bed366650452cfea41c5b0cea44f7a7
(b11,2461) (97,215) #2029#12c5#ba7#18df#7d4#1bce#2291#e93#
(26b,383) (12cb,15e9) #188#e3#1ce#272#a0#379#e3#350#61#39#1c4#
(295,a01) (5af,919) #5ff#807#5d0#483#25b#35f#7c2#35f#f#
(a49,598f) (403,111b) #23e4#2c43#49a5#16ea#338f#4ed5#4ed5#4ed5#4561#4152#
(1b29,30f5) (97,215) #2bbf#171d#f1e#21f5#2abc#abd#2965#2151#
(463,b7d) (12cb,15e9) #9ea#922#ae3#aee#235#3ee#922#899#4fa#5dd#64c#
(5af,919) (213,661) #861#74d#646#5b6#65b#710#710#646#7fd#
(143b,1c5d) (12cb,15e9) #1387#c53#768#8de#8d4#468#c53#1a16#43f#b12#170d#
(97d,91cf) (12cb,15e9) #4f29#8cc1#3152#41b1#6ba0#102a#8cc1#46d5#72f8#4a6b#493d#
(1f07,2d35) (463,b7d) #311#121c#167c#2a3f#2651#2c55#1167#18a8#1d0b#
(4639,65c3) (97,215) #1959#10b3#4550#2c0d#148e#37d#235d#3c32#
(751,6307) (97,215) #53d7#1310#9e0#3a44#5151#302f#21ec#215d#
(97,215) (97,215) #28#181#3#1a8#1e3#169#105#1ec#
(19b,71b) (213,661) #4b2#54#25c#5c7#492#659#659#25c#69#
(1689,317b) (2183,2ed9) #922#3d#1d28#76c#20b3#2deb#3d#1dc4#6ed#1b28#d88#
(145,775) (12cb,15e9) #3e7#66a#34c#602#291#86#66a#5a6#4b8#2da#213#
(1877,1c91) (255,31f) #4bb#cb5#96c#96c#17e5#1265#10f5#46c#83e#
(1fab,cee1) (97,215) #8dec#de5#abdb#1891#8904#4aa#609e#9693#
(1dcf,2d11) (6583,9d37) #1745#1611#242b#28fd#17fc#11a1#1e2d#2ac4#17fc#625#11dc#
(955,22d5) (6583,9d37) #1f17#422#1caa#1e67#cc6#19b7#20de#129a#cc6#1c6c#1e9d#
(2dd1,62b9) (403,111b) #28e1#41c0#61e2#5b7#224a#3ff1#3ff1#3ff1#40c5#29e#
(2183,2ed9) (97,215) #1316#2a37#25d7#1cea#20b3#1b95#24cf#1651#
(af9,9d37) (12cb,15e9) #1c44#1198#449c#477#1d8a#8dfb#1198#5630#62c8#524d#2e95#
(5553,6307) (255,31f) #2a25#4b4c#3d6#3d6#1a2a#1a7e#79#1812#4274#
(ff1,34c7) (5af,919) #1905#1c86#2901#fbe#1dc1#2d33#2fca#2d33#1550#
(20c5,5d35) (5af,919) #53c8#38c3#1639#416d#f1a#3e73#492e#3e73#20bf#
(143b,3bcf) (5af,919) #12ab#39d0#23d1#15b2#3382#1a7f#206c#1a7f#2216#
(6c5,203b) (403,111b) #19fb#3f9#6e6#1537#10d0#227#227#227#1348#97a#
(8a5,c59) (5af,919) #7f9#2b3#1bd#9ea#b46#b53#64f#b53#956#
(5351,7055) (97,215) #2d5a#4a48#6378#4c6b#3ec5#100#2639#292#
