(243b,3a0f) 3 07d64a6fadafc6098f8942ea20121c370ac9a9eead178a39139fb69097e75c5b 3fa131a2682e568bfada1f53f840c9c6036649e1014b8eccfe04bb0a4d2ea82c
(ce9,1015) (91d,ddf) #d6a#8e1#c1c#9#20b#9#9#5bd#ca0#
(4389,49b7) (2ff5,409f) #12d3#d7#1879#1879#4287#1f0#1e2d#443b#2d75#1879#2b76#
(65,197) (9b3,e2d) #5f#115#4c#1d#e7#e9#48#e8#ad#
(5d5,301d) (bd17,de91) #3ab#afa#28d9#1212#20c7#1d67#28d9#2b2a#1538#1212#87c#
(49,319) (9b3,e2d) #28#14a#26a#27c#d5#65#32#2e1#d2#
(1b43,3283) (2ff5,409f) #2ffe#7ca#2b6b#2b6b#1012#2623#9a1#24b6#21a#2b6b#1799#
(5b,941) (3c37,3f71) #6e3#6d0#5b7#6d0#90#429#6d0#46c#90#3bb#88d#
(595,77f) (39f5,49a9) #5e0#22#629#66#54f#419#68a#629#c1#629#670#
(511f,6a7f) (2ff5,409f) #dbb#5bdb#47ca#47ca#4697#48b7#5bd3#251b#6a1e#47ca#6eb#
(f1d,175f) (b0b,1399) #15c#4f1#ef0#4f1#8e3#586#11db#164e#164e#b7#
(9d,143) (2ff5,409f) #6d#32#66#66#20#8e#133#94#e4#66#f9#
(f,9bb) (108d,21ad) #26d#20b#69d#95f#463#e4#589#20b#49e#463#4cb#
(a0d,d33) (1ab,4c3) #c2f#ad5#4e#209#964#52e#bba#cf2#cbe#
(3ac1,44b9) (9b3,e2d) #120b#2c78#1d91#102b#1c6a#233a#3198#14ec#3a87#
(449,47e7) (1ab,4c3) #e9a#3432#2b28#2c05#1e92#28ad#35e#1d22#5c8#
(1341,3451) (91d,ddf) #1041#1cb1#2e88#218f#30d8#218f#218f#259#2ac7#
(5d,4a5) (bd17,de91) #35c#152#330#146#497#212#330#137#29a#146#29#
(45b,86f) (3ac1,44b9) #5c2#61c#5e3#1c1#405#53c#40e#40e#d0#1a4#1f0#
(2b01,38f3) (3ac1,44b9) #709#368b#471#2f73#ffc#31df#366f#366f#1ed9#2854#3802#
(1ccd,1ea9) (9b3,e2d) #115c#138d#1603#d33#1617#1a85#1396#15e5#42d#
(4105,6515) (39f5,49a9) #205c#3081#1053#59da#2a40#2952#498e#1053#4aa0#1053#4983#
(168b,1ba9) (2ff5,409f) #1a10#adc#73d#73d#277#399#1b1e#39e#d7#73d#1806#
