(257,1703) 1 0d34687245c538120f1dd79017ab8e59490744d7299a1f459d00cf0b043b32b8 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(239,2c9) (4ff,2aa9) #1f7#3#292#292#21b#202#84#84#63#79#
(233,1643) (dd,431) #12e5#96f#96f#1635#c32#7eb#a19#1219#
(b3f,18af) (dd,431) #823#16f0#16f0#dd8#759#e00#d6b#e05#
(1c19,3283) (dd,431) #2b6d#bc5#bc5#2e30#2ae3#2558#a0c#307d#
(5a3d,6f2b) (865,1001) #3995#4c61#6816#3491#307b#4357#5eca#5eca#4357#2407#
(3df,7ab) (865,1001) #90#6ec#399#486#765#1de#766#766#1de#1df#
(599,67d) (dd,431) #452#1f0#1f0#4fc#417#103#39f#4f#
(4c1f,7433) (dd,431) #5783#212f#212f#4743#2968#740c#4dee#1919#
(7cd,10d5) (4a3,1235) #5ec#44e#b07#738#d2c#1b9#34e#738#386#e96#
(2c33,6749) (865,1001) #5d4d#2486#3121#12c8#1b3a#6588#23ad#23ad#6588#5db1#
(793,4567) (dd,431) #34ff#4032#4032#33c0#3551#3897#1bc2#4169#
(c4f,f89) (dd,431) #35c#8d#8d#eca#eab#92b#25f#148#
(14b,1ed) (dd,431) #61#1d4#1d4#1c8#1aa#ee#5e#18a#
(dd,431) (4a3,1235) #b0#38a#35b#1d9#159#ff#422#1d9#297#28a#
(233,1c91) (4a3,1235) #1ba7#34b#d67#19ad#cbf#f51#74e#19ad#113d#1b50#
(15d,42b) (865,1001) #1aa#177#2b#c0#63#6c#179#179#6c#130#
(75,919) (583,84b) #38f#21e#8d8#2ca#1b4#8d8#694#706#6cc#
(2e2d,52d9) (dd,431) #90f#459a#459a#4b92#67#826#18e3#3b91#
(913,4da7) (583,84b) #4414#2a85#7dd#1fa5#41e9#7dd#f6e#4a47#38cd#
(2e83,303d) (583,84b) #1ab9#1977#1ca4#36a#ce#1ca4#172f#2880#2af1#
(161,1d9) (865,1001) #192#177#112#1c7#2c#24#73#73#24#18e#
(1367,2785) (865,1001) #bbf#13d7#fd7#20ff#8ed#1aea#6c#6c#1aea#1e56#
(5e7,e99) (865,1001) #69a#55b#571#922#c0f#659#70b#70b#659#756#
(10d3,17db) (583,84b) #5a#4db#126d#b75#1014#126d#508#f2#d9e#
(3365,4085) (dd,431) #1a09#339#339#12ef#707#237#18be#3a0c#
(dff,3f13) (865,1001) #1ef8#2384#259#4b#2adb#844#2c6e#2c6e#844#29a9#
(2629,2785) (dd,431) #17f9#2bf#2bf#6fa#1f16#255d#1458#b6a#
(2cf,522d) (dd,431) #26e4#3534#3534#556#f25#3373#3001#3092#
