(2b3,8d1) 3 04f8ebb2cba393642e4443fa087aecbed7dedb957aef91cfd93951a39a2da75e 959df8f33e15526972cedefde8d02494037d5de739710c12bc9ecdb3078b5df0
(1ff3,26d7) (da9,1ee9) #2171#1f64#126c#1d1e#262a#188f#bc2#bc2#1d1e#98b#
(a17,245b) (da9,1ee9) #7a#2de#6dc#fe5#7be#233e#1c77#1c77#fe5#c7e#
(7e1,b41) (35f,3785) #2ad#2e3#53f#749#536#2e3#79b#211#53f#a12#
(18bb,2461) (35f,3785) #18d5#1715#1e61#2333#12da#1715#d7c#9e6#1e61#1068#
(4db,6bf) (1219,27df) #11#5c5#6b#5c5#2f3#2c0#6b#5cd#32f#2c9#de#
(2ea3,3e47) (abb,213d) #38c4#27c4#e64#e64#37b4#1b4#170b#310d#57a#125e#
(33,b34d) (283,287b) #aa44#6170#46ca#7cdf#7bea#6170#46ca#9ad4#120e#893a#
(1b71,2c6b) (abb,213d) #9c1#1dd9#18db#18db#212c#1be4#1cae#e02#221b#1a62#
(3cd3,5c95) (1ef7,484d) #26f9#2584#9b5#36c5#1009#2919#3343#1bbe#3343#3497#1684#
(16c3,25e5) (8bf,1a29) #1c4d#1476#e55#9e7#1b0e#1780#d63#21f2#55#16d5#
(163,629) (1219,27df) #105#187#40e#187#4c0#5e6#40e#323#166#55f#4d5#
(59d,49b7) (35f,3785) #caa#1e9e#1f55#2b39#200d#1e9e#189b#2de0#1f55#330#
(5cb,1015) (abb,213d) #d61#cbf#bf5#bf5#100c#ef6#c73#f71#8b0#71c#
(da9,1ee9) (1ef7,484d) #1ae7#1257#845#8ca#1814#1c33#dbf#3fb#dbf#1cd#1c59#
(3a61,5b61) (1219,27df) #2e2e#57f3#1df7#57f3#2bd7#4a17#1df7#16ab#31fe#192b#40c1#
(1ce7,9fd1) (35f,3785) #59ef#2b64#25c6#5472#4945#2b64#5d53#3367#25c6#6411#
(a5b,d4b) (107,7a5) #920#518#ad1#7ad#3a1#7ad#6ae#ba2#290#
(1a77,242f) (107,7a5) #1885#1d49#177a#1652#1eb4#1652#1c9e#4a#13a7#
(16b1,3ef5) (abb,213d) #c8b#1c2c#2c04#2c04#3b0#9d0#aa7#1f7e#28f6#25d2#
(1b1f,9d37) (abb,213d) #3681#1168#6b2e#6b2e#2353#1fd5#5849#522b#b64#5d70#
(b9,275) (1ef7,484d) #1c#1b8#1ec#121#f2#a0#12#a5#12#1eb#5f#
(337,71d7) (1ef7,484d) #4ab6#6de1#6a6d#2dd7#5480#1c14#4ac1#4604#4ac1#28a4#3b8a#
(695,7f1) (283,287b) #578#430#57d#637#466#430#57d#253#3fe#32d#
(27d,165b) (107,7a5) #7ba#15a4#90d#11eb#ce4#11eb#733#244#a48#
(137b,2009) (35f,3785) #b6a#1337#5f4#51d#fe3#1337#1089#2b0#5f4#d82#
(1e57,89bf) (8bf,1a29) #1041#1109#6b56#2b94#731c#11d8#2395#a84#6d31#12d4#
(6b87,bb57) (8bf,1a29) #a091#848a#7df#bb3#7ad5#5386#1365#959b#7a4#1a61#
(647,917) (1ef7,484d) #230#58d#4fe#18c#182#876#11e#56c#11e#6f8#73d#
(2451,33cd) (137b,2009) #169e#147e#3393#1f28#20d2#256c#1f60#49d#49d#305e#edb#
(5dd,cbf) (da9,1ee9) #28#64#61#39#2c#31#65#65#39#29#
(8c3,1457) (137b,2009) #10f9#1125#d86#d71#2ec#e5c#f57#62e#62e#553#1c3#
(10bb,1ed9) (da9,1ee9) #1b44#82f#18fc#9b1#1a05#81d#8b#8b#9b1#14e7#
(371,a6d) (107,7a5) #875#84b#1f#bf#6f2#bf#a24#9d6#2af#
(abb,213d) (1219,27df) #1374#2c2#7e6#2c2#10bc#1450#7e6#10a#82d#1283#1c0e#
(6663,9415) (107,7a5) #39b6#11dd#7b14#4bca#16e7#4bca#4d42#7125#7211#
(131,53b) (8bf,1a29) #2bf#434#1c5#202#60#52#df#3e3#164#c9#
(1841,33f7) (8bf,1a29) #fa0#326e#2bd6#1d8a#62f#448#31a9#1923#2417#8b5#
(2e79,50dd) (da9,1ee9) #4aa#1436#46cf#49bf#743#1a65#138#138#49bf#ba7#
(71f,7a0b) (283,287b) #43bd#568f#18b9#10b9#42d0#568f#18b9#7481#499#37d7#
(281b,2d35) (1ef7,484d) #db4#1c93#19df#250d#14e3#2a5f#27c5#2cc8#27c5#5b0#2aa2#
(6e9,c1f) (da9,1ee9) #5a#11b#253#92c#b0f#6e5#816#816#92c#508#
(84af,afa9) (da9,1ee9) #27c8#6dbc#311a#9b08#248b#2703#7002#7002#9b08#4876#
(1269,2fa1) (8bf,1a29) #2d9c#2bd4#227d#1e05#21b5#20f6#983#ce8#2f46#1f33#
(564d,6ecb) (137b,2009) #33f3#51da#3301#3aa#210c#1739#65c5#1871#1871#4de9#5901#
(eef,128b) (35f,3785) #e01#13a#cc#2c4#ac7#13a#846#f45#cc#a09#
(b5d,143f) (283,287b) #7e8#f17#28a#a8#13c7#f17#28a#4b5#a2d#ae8#
(8d7,165b) (35f,3785) #f23#4cf#1356#1012#366#4cf#c6e#6ac#1356#1010#
(58f,3731) (8bf,1a29) #1047#1c1f#1ac8#152a#3252#22cf#29cd#1e92#3269#285e#
