(3d87,447d) 1 21ea56481dcfe2a4c2368596bccdc8bca320f2fb9cc65dc20bb4b36467714e26 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(2ad,385) (55d,11cf) #15b#350#350#9b#116#310#310#1f9#2db#33b#
(55d,11cf) (8b,9b3) #fe0#115d#6d3#444#983#6d3#52c#b6f#
(3e39,5101) (55d,11cf) #2e65#356#356#3274#355d#4c54#4c54#4ac9#38b8#3fc#
(2895,39d3) (42c7,5101) #1471#589#f41#36ae#21db#35c#3926#113#13b3#113#758#
(df,c3d) (55d,11cf) #c24#7d3#7d3#891#ad9#844#844#825#1c#401#
(3aa3,4d75) (55d,11cf) #4795#3acd#3acd#16e8#37fb#1bd9#1bd9#43ed#4508#3987#
(1607,28a3) (8b,9b3) #1364#1ca#25d4#17ea#2736#25d4#27bc#17f1#
(9b,22f) (2291,50cf) #146#7b#7b#cb#fb#d8#194#9f#17e#bc#202#
(3207,3715) (42c7,5101) #1723#32b6#13b9#1287#1267#f08#2fc4#12af#8ba#12af#1bf3#
(3da1,696d) (8b,9b3) #f24#4294#1653#114c#173c#1653#369#3e3d#
(f35,2081) (8b,9b3) #b88#1ad5#aae#24#1440#aae#d2d#f1f#
(1615,31a3) (2291,50cf) #6ad#236c#236c#1f98#d99#2581#16be#5ba#e92#13f8#a40#
(551,9b9) (8b,9b3) #71a#2e4#379#219#44e#379#25b#81#
(110f,2447) (42c7,5101) #5dd#23e5#2#1151#18f2#259#2012#1ae9#1ab3#1ae9#528#
(484d,9ac1) (811,4da7) #730b#6890#7af0#7af0#2c00#4014#9550#13a5#3008#6019#
(9cb,a01f) (42c7,5101) #308d#9e3f#8ec9#56a0#9e6e#c6c#96b#8620#576c#8620#2385#
(2de9,5c9b) (55d,11cf) #208a#27a0#27a0#3eff#129f#5af5#5af5#2840#3204#412b#
(709,11c9) (811,4da7) #bf8#3b2#10c#10c#a00#ad7#f89#b52#45d#508#
(37f,68f) (811,4da7) #2c0#2a6#53a#53a#500#60e#3e3#59c#10#24#
(df5,45cd) (811,4da7) #3f41#30a3#3a57#3a57#24ea#1750#4000#3454#290e#3d99#
(217d,2d47) (811,4da7) #13f3#2cbf#16f4#16f4#1c0#1c2b#291#13c7#4a4#1d89#
(482f,d5b3) (2291,50cf) #1ffc#d57e#d57e#9643#c759#4355#bb25#c1e9#76d6#6b6c#a1bd#
(15a3,1c87) (42c7,5101) #964#954#13de#1168#c70#1a71#16ca#377#18cc#377#ae9#
(89f,3233) (42c7,5101) #1f22#52a#251f#173c#2498#1c57#2e9#1670#2548#1670#16e5#
(6d7,1a5f) (2291,50cf) #375#19d8#19d8#6ac#129e#c9a#3c3#1548#e42#978#1a5d#
(86f,abb) (55d,11cf) #4f6#910#910#36d#1d1#143#143#700#11d#59b#
(42c7,5101) (2291,50cf) #266f#150e#150e#16d2#e10#3930#42e4#39d4#2f3e#1d37#3998#
(98f,250f) (55d,11cf) #60a#239c#239c#23fb#2103#1cf6#1cf6#1a55#19a6#17dd#
(307f,4195) (8b,9b3) #28e6#f1b#3956#1949#2408#3956#2950#1826#
(e9,4db) (811,4da7) #360#14b#310#310#2c#372#269#4#40a#3e0#
(2011,454d) (2291,50cf) #dd7#20b3#20b3#227c#15b1#24cf#350#112#ab8#393e#689#
(300b,3f1d) (2291,50cf) #3e11#2526#2526#169f#10a9#2059#3a07#3500#2748#345a#3aab#
(2ec1,4469) (811,4da7) #2b75#3278#296e#296e#3751#2b21#332d#cd9#200e#40f9#
(b5,f77) (811,4da7) #f30#23e#d33#d33#6d2#76e#28f#79b#874#3eb#
(43d,a1b) (811,4da7) #5e5#441#7d6#7d6#880#7ab#1bd#933#14e#54e#
(1039,11c9) (2291,50cf) #1185#82b#82b#5a9#211#1092#838#ae2#185#b3f#c0e#
(28c9,59d7) (55d,11cf) #3c83#2cfa#2cfa#222f#177d#561b#561b#3a00#1b3b#32d4#
(9d,2bf) (811,4da7) #151#213#27e#27e#100#29c#18c#164#18#16b#
(4d29,97ff) (8b,9b3) #8fcb#1ffa#7733#3c17#97d6#7733#7205#4b73#
(2ba3,31e5) (2291,50cf) #1d07#2900#2900#c54#202f#9ec#d4#c7a#a14#64e#15c2#
(16d9,213b) (8b,9b3) #2030#1c1e#b68#10d3#134#b68#192d#1d7d#
(458b,6025) (811,4da7) #86f#350#2a03#2a03#3d17#3bcb#5e2a#313a#5afa#2f79#
(517,fbf) (811,4da7) #cdf#f30#e94#e94#9cc#9f2#852#770#743#921#
(35b,a3f) (42c7,5101) #99d#3eb#919#442#438#50b#87d#5bc#97b#5bc#98b#
(64f,8e7) (8b,9b3) #2ba#519#107#82#10f#107#200#329#
(11f9,2447) (2291,50cf) #705#18b5#18b5#1810#10a#f80#f29#191c#1944#1111#209e#
(163,8b7) (2291,50cf) #448#7d4#7d4#654#753#104#5ce#1c5#305#4c8#ea#
(811,4da7) (55d,11cf) #4bfc#2644#2644#224a#3e2c#2b2a#2b2a#39b6#4a07#cf9#
(184f,522d) (8b,9b3) #4b91#1f48#2d04#3d77#368e#2d04#5024#1e12#
(607,b69) (2291,50cf) #9f1#ab4#ab4#979#73c#a8#7df#8f5#824#849#146#
(1d,917) (42c7,5101) #4f#c3#125#2b9#59f#42f#1ae#4f1#29a#4f1#6ba#
(fb,431) (42c7,5101) #269#e3#117#150#40a#2f4#51#db#2b5#db#394#
(119,3b2f) (811,4da7) #1ee3#125a#1e40#1e40#39db#3268#1125#2b10#2deb#34c4#
(1111,1651) (811,4da7) #26c#7ec#a9d#a9d#406#b88#4cf#1247#39d#956#
(2f1f,8b1b) (8b,9b3) #114e#383d#2a1b#6803#2a44#2a1b#86d5#6a5a#
