(4a03,5881) 3 17290bfa265887c4d06513d2f3455d6bcafe81b21c0b7eab5b160d8934b86e78 2eca6e77d81201c71966f38fec485684fac261ca7820f64eb728875c745291e4
(597b,5c23) (aa5,125b) #3cb1#25d9#25d9#66e#426f#269b#195b#66e#e76#38cc#
(4573,59d7) (aa5,125b) #1953#45b8#45b8#3352#2974#3810#45aa#3352#2d71#4685#
(2277,3e47) (aa5,125b) #5de#36fc#36fc#2ef4#1433#31e4#3dc9#2ef4#1184#6be#
(d55,1759) (1745,5b99) #16e1#fee#b5d#e42#3c0#ff6#3c0#1419#a57#a57#12ff#
(625,d5b3) (40d,47e7) #96b9#a9bb#e93#d116#c5fe#a9bb#ce4a#a7f8#ce4a#63fa#
(c5,a03) (1a3,5b55) #5e5#56e#515#4f3#8a3#18f#86b#18f#18f#3fa#
(151f,4ad1) (2507,4441) #382a#f3e#4a30#3ab4#3b91#186a#dff#dff#dff#34db#2632#
(7fd,1759) (40d,47e7) #67b#1139#1094#e10#1077#1139#bb4#c05#bb4#1ac#
(8d1,3617) (40d,47e7) #105c#18cb#22fa#1025#27c#18cb#1443#1876#1443#905#
(727,1277) (3ea7,97ff) #c9#53f#7ce#bd3#154#d61#afc#154#726#726#e3a#
(61,485) (d0f,27f5) #368#8b#1c3#c1#393#428#37#c1#9d#31b#
(254f,495b) (1745,5b99) #777#18de#2e5f#1efd#1425#1194#1425#3d58#3df8#3df8#2343#
(3f5,6a7) (3ea7,97ff) #31a#3a7#53f#4a1#689#5#234#689#431#431#65f#
(12e9,1c79) (aa5,125b) #54d#adf#adf#1081#975#228#10fa#1081#1bd4#44d#
(c1,495b) (aa5,125b) #44c1#183d#183d#50#121#19cf#3261#50#27f6#2c19#
(2b1,3eed) (d3,fd) #164a#86e#1385#1265#21dc#86e#3aa5#
(581,12a1) (d0f,27f5) #2e1#9d2#b1d#8f3#70b#a0#2a#8f3#263#30#
(2a5,1535) (625,d5b3) #11ff#10bf#115a#14d3#2de#124d#14d3#1373#2e3#1438#
(6d1,2d47) (aa5,125b) #1324#16a8#16a8#5ac#1194#28b4#25c4#5ac#210c#1f94#
(1ab9,2381) (1745,5b99) #1c83#1c4f#e46#aed#a74#2c#a74#a27#f79#f79#1f23#
(4129,81d1) (40d,47e7) #294c#1808#7b6c#7ad6#1c7d#1808#6b41#19ff#6b41#ed#
(419,4f7) (2507,4441) #11e#ad#3ba#103#12d#a7#45f#45f#45f#339#171#
(2507,4441) (3ea7,97ff) #591#41c1#1e61#3604#17b4#1a48#20e6#17b4#399b#399b#2c10#
(bd,667) (d3,fd) #588#458#4ee#2c#7d#458#5d4#
(e71,1493) (aa5,125b) #8b1#50d#50d#1289#1110#1212#10a3#1289#cc8#d02#
(3737,5ee1) (2507,4441) #3d93#4dae#4b79#9a1#292c#1f01#25d3#25d3#25d3#84#444d#
(1db1,39d9) (207,7ff) #3033#303d#67b#992#37b3#992#3653#3653#304e#
(77,2b1) (207,7ff) #90#165#13b#16#119#16#2aa#2aa#284#
(729d,aadb) (207,7ff) #7c28#9777#29ea#5982#57df#5982#2b61#2b61#2b9a#
(3533,42d9) (625,d5b3) #2e2e#2af0#1ed#2ee1#3988#539#2ee1#3cb0#373c#3e32#
(455,3c2b) (3ea7,97ff) #358#936#81e#923#17d0#1b31#244#17d0#1fd6#1fd6#331d#
(394b,6637) (3ea7,97ff) #5a1d#42bd#31ba#6355#c32#5113#3bed#c32#3846#3846#3c9#
(1a3,5b55) (207,7ff) #435c#21c6#561f#333#1d94#333#15b9#15b9#b48#
(54f,1c6f) (1745,5b99) #daa#f08#d61#1132#adb#218#adb#19ac#73f#73f#272#
(e9,4ad1) (207,7ff) #1be7#11f5#a06#2a8#8c#2a8#239#239#4802#
(2f05,495b) (3ea7,97ff) #298e#f1#1b12#2856#10e7#44af#1da3#10e7#2c9d#2c9d#355f#
(206f,6ea1) (d3,fd) #4ac3#1452#3663#2603#3b2a#1452#4b61#
(1585,35b3) (3ea7,97ff) #3cf#150f#ace#13a5#1aad#1bdf#21c3#1aad#2561#2561#2b02#
(f1,461) (1745,5b99) #250#1ad#44b#ad#30#3f3#30#21#130#130#3c4#
(1745,5b99) (1745,5b99) #186d#2df1#be0#54bf#3e28#3e50#3e28#173f#3adb#3adb#38c5#
(40d,47e7) (3ea7,97ff) #3712#1b7c#1560#10ea#2aad#1409#3cb6#2aad#2000#2000#4565#
(421,a07) (aa5,125b) #3cf#3c4#3c4#7fa#4c1#66f#890#7fa#2a4#601#
(29,c4d) (1a3,5b55) #bdd#173#1fb#338#7c0#931#56c#931#931#4c3#
(2df1,4fe5) (207,7ff) #28#27ec#30#3bce#1327#3bce#2181#2181#425f#
(295f,4b67) (207,7ff) #3ac8#22fd#3d49#3468#b00#3468#1ec#1ec#2c30#
(d3,fd) (40d,47e7) #ac#ad#ca#f3#8f#ad#bb#e9#bb#8#
(3ea7,97ff) (40d,47e7) #11b7#605c#2e92#992#8e3f#605c#3546#6f72#3546#46b0#
(219,499) (625,d5b3) #4f#3dd#96#1fd#273#366#1fd#83#464#452#
(d0f,27f5) (1a3,5b55) #221a#23ff#f2d#581#1d0c#19ac#2337#19ac#19ac#2ee#
(93b,11f9) (3ea7,97ff) #cf8#851#514#d93#755#10a2#7d2#755#93b#93b#7e9#
(207,7ff) (40d,47e7) #375#c#7b5#73d#eb#c#664#8d#664#7f0#
(439,6f5) (1a3,5b55) #41e#287#360#74#123#626#250#626#626#29#
(1819,3f47) (1745,5b99) #2221#e35#b2b#2351#3291#b93#3291#3815#1716#1716#28a#
(aad,1abf) (d3,fd) #12bc#10cd#aa4#1922#1077#10cd#549#
(668f,6ea1) (aa5,125b) #34fc#52c4#52c4#1434#1be6#bf7#2d20#1434#652d#1dad#
(213,30d) (aa5,125b) #22d#2a8#2a8#2a#63#283#2a5#2a#2b#ef#
(1471,21cb) (1a3,5b55) #1b8b#d72#2cf#1655#6e6#542#a4a#542#542#1ee9#
(18c1,380f) (207,7ff) #2f63#3463#2da7#3405#2e85#3405#f7c#f7c#2091#
(802d,841f) (1745,5b99) #3052#b0b#7cc9#43e1#2ed5#40c7#2ed5#7250#40ad#40ad#27c6#
(1d69,2b01) (40d,47e7) #1b2e#2942#2225#456#2736#2942#2444#18db#2444#219#
(3a69,7b53) (aa5,125b) #601f#6bcd#6bcd#5c56#51bb#13b3#4d3e#5c56#22b1#584e#
(5ef7,9089) (aa5,125b) #1dd6#2d90#2d90#41ea#892e#3837#7a4b#41ea#4484#3d0d#
(4ac3,522d) (40d,47e7) #2222#192a#4c4#10af#1245#192a#24f8#e51#24f8#e82#
(76b5,952f) (207,7ff) #8c5d#321#3b33#4fdc#6e4f#4fdc#4a29#4a29#5583#
(282b,2aa9) (625,d5b3) #c9e#b56#692#1f59#29a9#182b#1f59#1c34#1fd4#1d7#
(2375,b42f) (1a3,5b55) #63eb#32c2#5ad5#2c2c#ab3d#7b8e#abd2#7b8e#7b8e#a1eb#
(174d,2533) (1a3,5b55) #24b0#2295#174d#15cd#1f23#326#b51#326#326#18dd#
