(4c5b,6f01) 1 2da261c6aeea905effc153f5d6be1fd09eb7a71d9dcc8c34cbc4b9781e7acc08 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(2bc9,778f) (25eb,40fd) #32dc#1d12#62b#1596#3c9b#248b#58b5#25f7#5e5d#1b13#625c#
(5735,879d) (1ab1,1f15) #7731#51#515#4f84#51#6d98#51#504b#51#5986#d55#
(bf5,5153) (25eb,40fd) #28ab#20be#4e4b#286b#15fd#3126#4db1#48bb#1a72#13ed#4302#
(35,187) (463,4fe5) #2c#144#83#cc#c6#144#110#a9#10e#d2#
(f35,13bd) (5d4f,626f) #640#ce2#25f#1033#5a5#907#362#bf2#362#5a5#64#
(1625,1e67) (463,4fe5) #1869#1ca6#131#14ef#638#1ca6#6db#1949#415#8fc#
(30b,54d) (5d4f,626f) #1f8#34d#1ae#538#1f6#402#20a#279#20a#1f6#173#
(b263,c6a3) (1ab1,1f15) #508c#2ae2#a246#323c#2ae2#7bd5#2ae2#2644#2ae2#a6d2#b0f7#
(1c0d,3b69) (25eb,40fd) #34ec#1c8e#bfb#32f2#26ef#fc0#3567#2045#2ad0#2435#2aee#
(1793,2c27) (25eb,40fd) #2313#2a68#1887#1bf5#1258#2584#25d9#768#21#26ad#1946#
(529,81d) (25eb,40fd) #28#32#35#65#62#2c#34#30#66#64#29#
(f9f,2953) (39f,1f57) #284f#2812#1942#1352#1a9a#5ee#1352#f62#15e6#1cb8#
(17,1e83) (463,4fe5) #b12#1836#15d2#717#1865#1836#58c#f49#110d#7fa#
(74f5,9973) (463,4fe5) #35d1#7b25#8220#1bbb#4323#7b25#92f1#84e#2391#3fdb#
(7e1,165b) (463,4fe5) #75b#107f#8ed#1325#1441#107f#553#13b8#12c6#1561#
(45d,102d) (39f,1f57) #ebb#1d3#bff#195#a1#bc6#195#12c#6fe#5c4#
(583,1c79) (5d4f,626f) #163b#be3#1887#6dc#11e0#13c9#a6a#101d#a6a#11e0#512#
(1f4f,2119) (463,4fe5) #1fc3#625#8f#8b4#902#625#1582#1500#120e#1201#
(d3b,598f) (25eb,40fd) #2e82#3c20#626#1876#13f1#3507#2e13#1e8b#1f91#50e0#27#
(3e3,589) (25eb,40fd) #30d#17f#3a9#3ac#154#63#152#531#54#30f#229#
(1335,409f) (25eb,40fd) #d7b#1ca4#dce#94c#81a#3033#282b#24c#3c92#81#1843#
(44bf,5ec1) (5d4f,626f) #1381#ae1#59b0#2e0b#241e#4a35#5e78#1783#5e78#241e#59dc#
(2431,3515) (463,4fe5) #191e#3380#2b44#4c4#94#3380#6a9#2b2f#1c35#13fc#
(16d,1ed) (463,4fe5) #14a#34#8d#33#16b#34#66#65#174#d7#
(82d5,caf7) (463,4fe5) #441a#1f76#7416#904c#149f#1f76#1980#8cdb#6a3c#4274#
(148d,17bd) (5d4f,626f) #660#8d8#552#81e#872#479#1287#e7e#1287#872#1361#
(25e5,27cb) (39f,1f57) #1424#1453#1348#11cb#220d#4f2#11cb#1d84#1430#6d5#
(167,b33) (1ab1,1f15) #18b#2e1#6d3#1cc#2e1#9b3#2e1#81d#2e1#70f#134#
(2453,2749) (1ab1,1f15) #2326#152c#22ae#1703#152c#1278#152c#2465#152c#1364#aea#
(6eb9,ad59) (25eb,40fd) #8c67#501e#89ab#2f86#556#8bd2#91e1#ab2d#5cdc#89c8#7203#
(81ef,9389) (5d4f,626f) #4010#8808#2c02#2f29#3d85#39d6#6c3#6095#6c3#3d85#7846#
(3b0b,3e93) (5d4f,626f) #22bd#f86#2510#39f#223a#28ea#35f2#507#35f2#223a#2a71#
(5d4f,626f) (5d4f,626f) #3a85#4545#3b73#32dd#1d60#3fa2#5a60#1d86#5a60#1d60#3d09#
(281,a6d) (5d4f,626f) #743#5fc#5f8#441#84d#46c#72f#87#72f#84d#7aa#
(2213,3677) (25eb,40fd) #464#3311#b4e#22e9#d35#2265#2b5f#1794#3004#34a6#216f#
(373,7acf) (5d4f,626f) #63e3#37e9#9f9#5bc3#6259#3fda#3c61#55ea#3c61#6259#17bb#
(96b,7397) (463,4fe5) #4d7f#4ef7#3c57#3e24#47fc#4ef7#2a53#1a72#1953#1f9#
(5edf,682f) (1ab1,1f15) #18f#24b1#25c8#766#24b1#63f0#24b1#2488#24b1#201b#675f#
(7e53,b039) (39f,1f57) #85#97ee#6633#aced#754#1d3a#aced#e85#1990#6706#
(3c0b,4e23) (39f,1f57) #157f#16f7#1a45#b95#4437#46c8#b95#294f#444b#2ee#
(2359,268d) (39f,1f57) #163f#152b#22f7#13a2#d47#1b59#13a2#2041#189c#1165#
(bcb,1cd3) (39f,1f57) #f68#6e0#7f0#1205#ae2#853#1205#af0#7bd#161c#
(44f,1b77) (25eb,40fd) #13a2#49e#1ac0#34#107f#674#a21#aa1#17ab#9e8#1823#
(a3d,13a5) (5d4f,626f) #248#3b4#151#a2c#dfa#719#800#1067#800#dfa#955#
