(5dd,6029) 3 1501c1fcedb8e1438b7d1653d65e138877d12b332774dd9315b8c6b04e0ccacd c0cd43a7e5ae3e366cf653904155ea12a011c93c135c6eb3459a179e45edebc3
(76d,b0f) (137b,4567) #234#74d#4e1#42e#7ed#7bd#5fa#521#277#42e#1b1#
(4451,5531) (af9f,b3cf) #4ac1#4fb4#1f71#2314#1f71#2cc1#41b6#114d#3530#1f71#2e4c#
(13e5,2ad1) (af9f,b3cf) #17f9#610#1c21#1acd#1c21#2324#62#7d9#46c#1c21#115#
(d61,1277) (af9f,b3cf) #8cc#4a3#286#2b7#286#b3f#30#5ea#7fa#286#103f#
(ff7,1d45) (af9f,b3cf) #1859#e27#83d#74e#83d#1cd1#b1b#1c62#d49#83d#1bdd#
(67f,2533) (af9f,b3cf) #1903#1ebf#4e4#2381#4e4#10e9#1dc2#119#2131#4e4#22b5#
(1075,2953) (923,2b01) #1fa7#ac0#44d#b3f#13f6#44d#2764#6c#2d5#55f#
(2e97,bb57) (1df,2015) #1ae3#765b#7967#7f7e#bbf#af06#53e4#765b#368e#2e26#
(14e7,1703) (137b,4567) #fd9#1248#35e#353#1017#15ac#1330#625#10b1#353#43e#
(5dc7,61bd) (1df,2015) #1d73#449d#5439#27d3#5dc7#4d5f#3c7e#449d#2309#150a#
(12d,323) (df1,1589) #151#64#229#31#18c#31#b9#135#2d8#223#
(64d,1e83) (df1,1589) #1872#6aa#94f#8f#14a2#8f#1611#7f5#1d5b#4a2#
(1135,5fcb) (139,12d3) #1d1d#5167#33ef#3fd#4f29#5167#1ab0#e4e#33ef#396#
(df1,27a3) (139,12d3) #1d24#8f#5e7#ef8#2446#8f#2052#2377#5e7#1acc#
(215,952f) (139,12d3) #939#4027#6cdc#5cde#6014#4027#7987#3513#6cdc#5e07#
(f0b,945b) (139,12d3) #2a3b#7d92#fdf#843c#8bc0#7d92#1359#cdd#fdf#51c7#
(1d3,11e3) (6d9f,7a0b) #53c#cdd#3ba#9f2#27e#82#833#cce#a40#5fd#f0b#
(209,f35) (af9f,b3cf) #68d#b4f#9f6#eb8#9f6#579#7d2#cd1#e7d#9f6#9ef#
(b89,3155) (af9f,b3cf) #18f7#2ade#2056#1ebc#2056#1c1e#5cd#10bd#2973#2056#1eac#
(c7,2c9) (2437,28c9) #1c6#288#4b#15e#2bb#15#288#38#63#39#12#
(2437,28c9) (2437,28c9) #86e#27b2#8b1#167b#f68#53d#27b2#251d#18f0#e50#2620#
(14dd,1721) (2437,28c9) #120#168#1201#104e#c91#134e#168#627#2cf#511#219#
(603,d15) (1df,2015) #bb5#14c#988#5d8#234#472#38f#14c#129#4b4#
(2ac1,3365) (1df,2015) #2bb6#e42#1488#3016#1b5#1355#1e5e#e42#614#23f9#
(657,a3bd) (df1,1589) #86d3#a0e5#6c64#9c09#4412#9c09#7b25#611c#6f3a#921e#
(25cf,b7eb) (139,12d3) #667e#3d#39e8#8afb#b760#3d#b432#7f10#39e8#2017#
(af9f,b3cf) (137b,4567) #85a8#4a1#253b#95f1#8f73#4082#3b79#5e71#8248#95f1#22a6#
(2767,2aa7) (1df,2015) #daa#1741#ae7#811#164c#131b#793#1741#1b12#d4f#
(1633,216d) (af9f,b3cf) #1345#1355#16a5#981#16a5#409#211a#1f59#444#16a5#1870#
(4adb,9415) (2437,28c9) #3569#64e6#315e#1069#12e2#943#64e6#6ac7#7327#51e8#8fd3#
(1d05,22b1) (af9f,b3cf) #1680#21f1#1982#18d2#1982#2054#87#f1b#493#1982#17f#
(2b09,396d) (df1,27a3) #1520#2466#36c5#286#366e#9ba#a7e#2eb8#108f#364b#
(95ff,9eb9) (137b,4567) #49a#9300#5072#7d4f#101c#697f#3319#753b#9293#7d4f#4e5b#
(22c1,3bcf) (df1,1589) #21f6#332f#128d#2095#2622#2095#285d#975#17ad#169a#
(33,31a5) (131,f01) #2c73#1eef#1e16#1eef#131b#1a46#256#1eef#1ef0#
(f0d,287b) (2437,28c9) #23df#86d#923#8e9#2589#264d#86d#b7a#1084#1f9d#1c6e#
(3793,78d1) (1df,2015) #778d#6064#17cc#30f6#2473#99e#3e7b#6064#5cf6#732f#
(10bb,2371) (1df,2015) #1461#151#53#1522#21ef#937#1e2b#151#22a7#12e5#
(8f7,99d) (1df,2015) #483#15f#831#5a7#4d7#442#15c#15f#63e#69f#
(4f7,84b) (df1,27a3) #6fd#324#696#2c5#3ff#19d#23c#1f#826#525#
(21c1,5c95) (df1,1589) #278e#1ff7#28d4#317b#5c8e#317b#1f6#4a9f#17e#259f#
(349,439) (6d9f,7a0b) #d6#21a#3b8#394#2f4#6d#3df#7e#ec#3d6#23#
(139,12d3) (af9f,b3cf) #28#c1b#240#1c4#240#206#11aa#d1#df7#240#203#
(23e5,544f) (df1,1589) #284e#441#3a68#2e69#34cc#2e69#2d3f#1c32#1e83#4ce4#
(1af,30d) (139,12d3) #15c#94#17d#39#226#94#1f5#c#17d#24f#
(4d9,10eb) (2437,28c9) #c47#1066#9bc#9d7#345#d8f#1066#6e5#157#1e3#dbe#
(131,f01) (af9f,b3cf) #647#af0#c2f#160#c2f#42c#259#eb6#694#c2f#4f7#
(a87,e53) (af9f,b3cf) #e4e#7ec#902#1b5#902#5d3#a2d#173#266#902#534#
(1cd,1dad) (2437,28c9) #15de#f67#cbf#56c#194a#799#f67#71e#1969#4a9#ecd#
(5879,6637) (df1,27a3) #379c#61ca#28#4ffc#1a32#1db7#5900#2adc#5a57#29#
(43d,b53) (137b,4567) #5f2#267#4b8#a99#64a#21a#1ad#105#5dd#a99#708#
(5291,6a61) (923,2b01) #5160#534d#3ec8#5b78#2c#3ec8#39c4#139c#621a#1dd1#
(1dd7,4c37) (2437,28c9) #35b0#17a9#3487#36b8#1d14#21f2#17a9#420d#58f#34a4#2f87#
(24cd,719b) (137b,4567) #4976#4935#3f1c#640c#5101#2851#619f#340c#3fd9#640c#ac3#
(1273,4a63) (139,12d3) #3915#4694#2582#c1f#3ffb#4694#410a#2624#2582#2609#
(19d,5e3) (923,2b01) #95#1d#407#3d9#441#407#3d2#2d0#599#e9#
(f31,3e47) (137b,4567) #4f3#463#312a#175d#b5e#2b3e#28d#30cb#2b94#175d#1db1#
(10c7,2677) (923,2b01) #1991#bda#b66#2489#2c#b66#1444#572#98c#1126#
(f67,3aaf) (137b,4567) #1c66#743#29fb#262b#d79#1fe#21e7#2762#2d0e#262b#4ba#
(137b,4567) (1df,2015) #43a6#db9#387#16f9#1163#3fc#1b24#db9#10c3#1b84#
(cd7,199d) (131,f01) #31#5f7#40c#5f7#4e9#1043#1884#5f7#414#
(52f,c79) (af9f,b3cf) #1c4#2cb#202#39#202#296#62#c45#63#202#15e#
(1f2d,471b) (af9f,b3cf) #46c6#255b#4473#419f#4473#1f3f#2165#416a#1d2e#4473#16ba#
(697,8c71) (2437,28c9) #4797#105d#2684#1ab5#7873#4353#105d#264#5328#2a84#79d0#
(1765,2371) (df1,27a3) #1699#7f4#431#2275#1da#1e99#8fa#1d5d#1f7f#85#
(6dd,a2b) (df1,1589) #610#ed#258#7e5#466#7e5#8ea#4bf#415#755#
(df1,1589) (137b,4567) #1b3#6b#8c9#1450#10d3#315#d14#50c#2c4#1450#1373#
(21e5,3b8f) (131,f01) #338d#2e2e#325a#2e2e#20b8#1af0#1e44#2e2e#1c8#
(5a29,6bf9) (af9f,b3cf) #950#3763#600f#1e2e#600f#2b0b#287e#174c#454#600f#4636#
(1df,2015) (131,f01) #19c2#144c#35e#144c#5b7#a7f#1eda#144c#e27#
(fd9,12eb) (1df,2015) #32e#f62#bea#4bf#c8#992#10ec#f62#f2a#ea9#
(1957,4195) (df1,27a3) #315c#b84#2fe0#18c2#123#f3e#3354#10e8#47#e59#
(25b1,4a5f) (df1,27a3) #13cb#a21#129b#379#b78#1a3f#663#115d#38d8#2da4#
(5adf,9fd1) (df1,27a3) #e57#503e#8000#8893#65b7#807b#23d#619c#85b3#99a1#
(ce3,27f5) (137b,4567) #1061#1d28#12a5#19a9#11b4#94#26eb#52d#b2f#19a9#17f1#
(53,f77) (df1,27a3) #955#c78#106#f0f#7fc#c01#119#70d#7d6#28e#
(1c7f,49eb) (df1,1589) #47c9#76c#1478#119b#1a9a#119b#3cbe#336c#3fab#42f2#
(7a9,171d) (df1,1589) #8f1#2b2#806#dc3#106b#dc3#7d5#352#143c#bd6#
