(7,8) 1 2d973910e3661a7aa7b6652ea399ad0134baabf8b8ede57e8061fe5e699c20fd eb04020554c2ef58d633c1c71d7aaf0f789fa5e885ddbd1901498d2f5adf7685
(26b,383) (107,20f) #188#e3#2a3#337#379#1ce#2a3#1c6#1c4#
(295,a01) (1067,15a7) #5ff#7c2#10d#752#517#25b#7c2#807#5d0#517#f#
(a49,598f) (1689,317b) #23e4#4ed5#4ed4#32cf#1b4#338f#16ea#4ed5#2e7c#4561#4152#
(1b29,30f5) (1689,317b) #2bbf#abd#aaa#10ea#171d#21f5#3a8#abd#f1e#6f9#2151#
(463,b7d) (107,20f) #9ea#922#5d1#1d8#3ee#ae3#5d1#20f#64c#
(5af,919) (7f,17db) #861#23e#792#65b#646#23e#2d2#752#7fd#
(143b,1c5d) (7f,17db) #1387#10ff#160e#468#c53#10ff#137#8d4#170d#
(97d,91cf) (445,9bb) #4f29#1760#1760#46d5#102a#4a6b#6ba0#6ba0#493d#
(1f07,2d35) (547,5b1) #311#9b3#121c#1167#2651#9b3#2c55#a06#1d0b#
(4639,65c3) (1689,317b) #1959#37d#1cb#3cdd#10b3#2c0d#5753#37d#4550#2e21#3c32#
(751,6307) (547,5b1) #53d7#21ec#4305#9e0#3a44#21ec#308f#302f#215d#
(97,215) (107,20f) #28#169#15b#3#1a8#1e3#15b#1af#1ec#
(19b,71b) (199,1af5) #4b2#25c#36f#36f#492#25c#4d3#70a#3af#69#
(1689,317b) (7f,17db) #922#2512#1cf3#2deb#1d28#2512#6ed#e63#d88#
(145,775) (107,20f) #3e7#66a#4#76a#86#34c#4#614#213#
(1877,1c91) (1689,317b) #4bb#10f5#120c#ca7#1bf2#17e5#1265#10f5#1b63#1597#83e#
(1fab,cee1) (445,9bb) #8dec#10ca#10ca#609e#1891#de5#3734#3734#9693#
(1dcf,2d11) (1689,317b) #1745#de4#1611#28fd#1e2d#11a1#17fc#de4#625#23b#11dc#
(955,22d5) (1067,15a7) #1f17#f5b#1dd1#422#1c6c#19b7#f5b#1caa#106c#1c6c#1e9d#
(2dd1,62b9) (445,9bb) #28e1#41c0#41c0#23e6#224a#544d#40c5#40c5#29e#
