(7f5,8b3) 1 6becbf4d7d4ed90bf75250df24ff39359c836e6f1313d2932a083602646ca0e0 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(2539,6adf) (f73,14ef) #5ec#6131#5cb2#5a0c#4fbd#490#61c6#34c4#6131#1fab#
(20ef,6515) (170b,a25f) #751#4314#114a#1180#1703#2526#4aa#119b#422e#3b64#1156#
(909b,bb19) (f73,14ef) #ac4f#2c33#18a3#825f#ad14#51#6688#3646#2c33#495e#
(44ed,9089) (f73,14ef) #e87#768a#8e3b#bc9#7318#4d43#4035#43bd#768a#4cc0#
(bb9,3bf3) (170b,a25f) #299e#300a#2142#1915#11c5#1b87#3da#198d#131c#1e2c#2701#
(27d1,2ef1) (170b,a25f) #213f#659#f9b#bbb#8d9#29ba#292a#32#c85#2e92#2e55#
(217,1c01) (b41,e1b) #18e6#1291#19a#153d#9e2#1876#153d#1291#1223#
(135d,20a5) (f73,14ef) #472#6a3#227#d76#d72#4ab#85a#1ea8#6a3#1d46#
(d7f,38ab) (2ba9,532d) #f7d#aa0#3581#26f8#3197#2349#f70#af5#aa0#196c#2679#
(c61,1691) (170b,a25f) #a5#16a#7e1#101a#18d#6ff#ccb#a2d#951#13a2#c15#
(3ea1,459d) (e2f,13a5) #32#aaf#102e#a58#2c16#3243#1305#3da9#4254#6ca#
(1cf,56b) (e2f,13a5) #352#20a#46d#2b3#301#4f1#1ac#553#1d5#191#
(c3b,1925) (170b,a25f) #1337#1307#15ee#b23#12cd#41c#bf7#d94#b50#c6a#a40#
(2d3,5e3) (170b,a25f) #12f#1dc#6e#430#42a#323#5c6#46a#30#5aa#2b7#
(1cf,385) (e2f,13a5) #157#1db#54#374#2e#c3#55#37e#2b1#d1#
(cbf,1a6f) (170b,a25f) #da5#98f#1a3d#f0a#591#9fd#116c#9a#127f#3f3#2c#
(3cdd,50cf) (170b,a25f) #12d2#2752#248c#1633#5064#2253#309c#fa7#4c82#619#4ce7#
(a257,de91) (b41,e1b) #b93f#be58#c4d6#1cd8#25e9#3149#1cd8#be58#1726#
(67,143) (170b,a25f) #e#90#51#5b#15#126#6d#32#12a#66#61#
(1481,1e3b) (e2f,13a5) #1d2f#cef#1a2d#c5#11d5#1033#dbe#16a0#732#11da#
(8b,67d) (f73,14ef) #4cd#353#1a2#1cb#5e3#4ef#29b#3c3#353#2c7#
(257,487) (f73,14ef) #18b#7d#1f2#450#e2#267#189#3ed#7d#3d3#
(6859,82db) (f73,14ef) #7202#625d#6a99#3de4#4760#3a4c#1c1b#6ac#625d#5df4#
(3bdb,485f) (170b,a25f) #2d2c#28b7#e52#2ff3#2400#1322#1476#102#5e0#3b73#38af#
(589d,7a8d) (e2f,13a5) #8b3#192e#30a5#2187#2d85#2ae2#4ddc#546b#370a#6473#
(3839,6a7f) (2ba9,532d) #6644#2f02#342e#2a0#3e68#3e7d#27d8#1ba5#2f02#39a7#136d#
(263,1abf) (f73,14ef) #920#1280#479#129e#d3d#adc#d33#123b#1280#23e#
(3d41,7fe7) (170b,a25f) #333d#5f5#3e4e#6169#240#2cfc#1a5c#301c#2e1b#7f8e#39f5#
(955,a27) (170b,a25f) #56f#a20#5da#6e6#936#43e#2aa#7a5#6f#461#8ed#
(f73,14ef) (f73,14ef) #1219#642#ba3#ea3#338#1149#9c1#13a2#642#9b6#
(86f,fdd) (e2f,13a5) #e0#e2f#620#2d0#8a5#2fb#44b#59a#265#a48#
(1e1,263) (b41,e1b) #69#132#d#135#116#24#135#132#50#
(bb7,131b) (b41,e1b) #e6e#fc6#a3d#e45#f39#5de#e45#fc6#e0b#
(7,a8d) (2ba9,532d) #52d#8e3#13#a2c#5c6#530#131#11a#8e3#5e2#88a#
(130d,396d) (b41,e1b) #2ac7#3600#20e5#847#20a7#2e5a#847#3600#8c8#
(70f,1e3b) (b41,e1b) #17e2#1538#1a8e#865#af4#9d3#865#1538#13da#
(1fb1,2941) (b41,e1b) #26fd#21ae#225#14a0#ef8#5da#14a0#21ae#2565#
(a7,155) (170b,a25f) #5a#e0#b0#4b#57#37#9d#28#3#d6#8a#
(1e3d,23cf) (e2f,13a5) #8e6#225f#1090#1823#1fec#a92#1952#50b#794#21d#
(cd3,fc1) (b41,e1b) #42a#185#ef4#15d#780#3dd#15d#185#63a#
(331,81d) (170b,a25f) #794#4ec#a7#212#32b#2f3#385#5de#523#48d#237#
(9d,1d9) (170b,a25f) #18#5c#197#8d#1c2#2c#66#7#d4#ec#e2#
(178f,2731) (f73,14ef) #191e#b5#1ac1#10ac#74a#1b54#1b1#26a5#b5#1af4#
(fb3,1b61) (f73,14ef) #829#13b7#1343#b49#1da#1854#6d#d07#13b7#762#
(2b0d,54e5) (f73,14ef) #164d#3ff8#15a5#3fff#255c#1173#2ea6#259#3ff8#597#
(1773,5e4b) (e2f,13a5) #2061#417e#2751#2517#3ae9#2e69#48bb#b90#43a#51d7#
(f85,660b) (f73,14ef) #229a#3a3a#45c1#2666#dec#32e5#3f8c#5bae#3a3a#136e#
(6f7f,72a9) (e2f,13a5) #1b07#1e9d#583d#1b6b#511#54cb#26a2#494a#5414#5b2a#
(4d5,71b) (b41,e1b) #290#ea#221#5a7#43a#2eb#5a7#ea#e3#
(281,42b) (e2f,13a5) #193#1af#32#e#226#165#33#61#266#ad#
(3721,70eb) (e2f,13a5) #3834#191f#1f84#3850#4253#3a19#2b92#483c#5c2d#24d#
