(81d,a1b) 1 0fae941b397e4bd4646fca6223ac0111879c45c34f86fb14b25719b37f8e6043 764faf5c61ac315f1497f9dfa542713965b785e5cc2f707d6468d7d1124cdfcf
(37f3,4319) (181b,1f57) #e19#42e8#357#42e8#2799#20da#42e8#36eb#292a#18d1#1f68#
(3433,3b7d) (57c5,626f) #330a#b1c#dd1#245d#b1c#1395#77c#12d1#77c#e7#261d#
(bcb,1235) (181b,1f57) #f79#4b5#c41#4b5#f77#6d7#4b5#11ae#103c#e69#35d#
(181b,1f57) (1cbb,49a9) #19c4#5d9#13db#1d31#1d31#1f45#680#1785#19ed#1785#5a3#
(ccd,5edf) (1cbb,49a9) #38d3#70f#2287#4d61#4d61#32cf#3e09#101a#27d2#101a#3d5e#
(1d3,10d9) (1cbb,49a9) #fb3#9ad#48c#519#519#639#d0c#57e#b5#57e#422#
(2fbf,3875) (1cbb,49a9) #30ee#b77#2749#48d#48d#1fd7#fa5#1bfd#2d78#1bfd#37ef#
(2f69,4ae9) (1cbb,49a9) #160a#8eb#3f96#31da#31da#1941#4814#35e9#3e9f#35e9#3d14#
(4db,6cb) (1cbb,49a9) #28#31#63#238#238#2c#672#648#4f8#648#29#
(2203,4e83) (3ad,12a1) #4946#82e#b3#2644#4cb3#45d0#368d#b3#45d0#1e23#
(175d,21b9) (3ad,12a1) #729#15d8#ec7#a6c#25f#60d#19f3#ec7#60d#806#
(515b,7ae3) (3ad,12a1) #7696#17f3#5d0e#137b#228c#1126#1056#5d0e#1126#150d#
(10f7,89bf) (181b,1f57) #4e1d#2cfc#2f86#2cfc#743#88fc#2cfc#3253#274#6268#3272#
(c155,c6a3) (181b,1f57) #55c4#2110#c10a#2110#7498#7b9f#2110#73ba#c395#23b8#af4a#
(64b1,7429) (181b,1f57) #528#5696#58bd#5696#34ac#de#5696#ff9#5323#10e1#52b4#
(25f1,2be1) (57c5,626f) #477#1c29#ccd#10a9#1c29#176f#23be#1dfe#23be#9ae#a36#
(2273,330b) (181b,1f57) #217c#1d19#23d0#1d19#a6a#6d3#1d19#dfe#17b6#13fa#82#
(4b5,9089) (3ad,12a1) #755d#4d82#1854#3c53#a72#1c4e#11f4#1854#1c4e#80cf#
(329,71f9) (1cbb,49a9) #5fb7#518a#2a8#39f6#39f6#12b6#39c2#4bb1#4a55#4bb1#423c#
(25e7,6131) (83b,b87) #1195#3b9c#2a4b#4749#1f27#4749#3b9c#733#3fea#
(7a81,c6a3) (3ad,12a1) #28#8c6f#100a#44ef#4e1#7f23#40a8#100a#7f23#3f3c#
(445,ab7) (3ad,12a1) #28#402#7f2#780#a47#6ff#32#7f2#6ff#8e5#
(2755,2d77) (57c5,626f) #1cd4#2bbb#2bb0#1fc#2bbb#1340#150f#2b94#150f#17bc#1f64#
(595,6a7) (83b,b87) #57d#59a#3a7#59d#109#59d#59a#51#634#
(2bf,4ad1) (83b,b87) #28e2#4829#4a21#2fd4#240f#2fd4#4829#1d21#1aba#
(a9d,bb1) (3ad,12a1) #3d7#812#7b6#33e#8cc#320#1a3#7b6#320#5ed#
(145d,60a7) (57c5,626f) #27a4#6013#5289#10f6#6013#5198#199d#41c5#199d#42ca#26b7#
(5297,6a61) (83b,b87) #20da#4fa9#50be#1856#5da6#1856#4fa9#5043#68bc#
(c4b,d4b) (3ad,12a1) #30a#6a1#d#92b#13a#83f#287#d#83f#4f7#
(5b97,a95d) (3ad,12a1) #7384#934a#6c73#2b86#4ba5#d67#991b#6c73#d67#4b84#
(63e5,add7) (83b,b87) #1ee8#53a3#1408#1d75#d1e#1d75#53a3#ab4#96c4#
(28fd,50cf) (181b,1f57) #22aa#16cb#4584#16cb#50e#13cb#16cb#329#7ec#491d#1a10#
(19eb,242f) (1cbb,49a9) #c69#1bb4#630#177b#177b#176d#324#18cc#326#18cc#73f#
(1fd5,626f) (83b,b87) #433b#1a43#294b#4620#2406#4620#1a43#52da#3da3#
(283f,3dd9) (1cbb,49a9) #3a4#f#179a#738#738#1a10#c30#18e5#3a67#18e5#24b6#
(83b,b87) (1cbb,49a9) #99a#24#3e1#568#568#b68#15f#4f5#716#4f5#40e#
(2257,7a51) (1cbb,49a9) #34df#287e#50fd#53ce#53ce#67ff#4ae4#1b7e#65ff#1b7e#3e4f#
(3ad,12a1) (83b,b87) #af8#43a#2e7#73d#4e4#73d#43a#e6a#69#
(19f1,382d) (83b,b87) #28ee#1968#28fa#13d0#1e8e#13d0#1968#19f7#5ed#
(1807,2165) (181b,1f57) #19c5#5b4#38#5b4#108#1c0e#5b4#66#1e09#1166#8ea#
(1055,1a5f) (1cbb,49a9) #517#1a02#1368#161b#161b#aec#384#845#b81#845#1188#
(ad,d91) (83b,b87) #858#1ac#6d#ae2#934#ae2#1ac#d22#5dd#
(15dd,666b) (83b,b87) #9ee#1d74#4c50#4b52#e84#4b52#1d74#2e4f#508#
(75d,12e9) (3ad,12a1) #72#64a#3bc#7ed#4e#712#4a7#3bc#712#be7#
(aec5,db59) (3ad,12a1) #23ee#994e#2a66#7f4d#3b9b#6e19#b99#2a66#6e19#2a34#
(b91,14fb) (3ad,12a1) #7a#e74#1347#f9b#df2#1a2#d54#1347#1a2#d74#
(130d,1e43) (3ad,12a1) #17b7#11e6#e51#eba#f05#2cc#570#e51#2cc#9bc#
(b83,f01) (83b,b87) #23b#9a4#195#e08#ad3#e08#9a4#673#722#
(3c7,10d5) (83b,b87) #737#38#b0f#62#258#62#38#d3f#13f#
(21d,bed) (181b,1f57) #a0f#189#9f2#189#785#230#189#83f#87e#3d3#3c2#
(1ec3,3817) (181b,1f57) #fac#2f1a#376e#2f1a#3765#1cce#2f1a#4d9#13#147c#624#
(2859,459d) (83b,b87) #3401#33a1#437f#1b5f#1a28#1b5f#33a1#193b#1600#
(2737,9967) (83b,b87) #d67#3d98#4371#903#81d2#903#3d98#2e13#79ed#
(1caf,24ad) (83b,b87) #10f9#2001#179d#1f45#b96#1f45#2001#7e#1bde#
(3629,380f) (83b,b87) #360#1d14#15de#23b2#f9f#23b2#1d14#1548#2105#
(d1b,112f) (83b,b87) #f7a#1058#2b3#673#100#673#1058#595#7b5#
(1951,2a0b) (181b,1f57) #27c5#1081#2f6#1081#5f9#1e26#1081#269e#875#158b#1897#
(16f3,2b0d) (83b,b87) #29b7#253c#853#124d#f9f#124d#253c#1e68#1ba0#
(361b,9967) (57c5,626f) #4aca#8c60#285d#2a04#8c60#6d5a#1acc#43a7#1acc#806e#1ffa#
(2b13,5575) (57c5,626f) #4fb#2c3f#1d46#367d#2c3f#3c44#51bc#e32#51bc#10d2#3de3#
(17d1,2785) (3ad,12a1) #70e#1bb4#1594#25c5#1ef4#238b#12f4#1594#238b#ada#
(239,7e5) (3ad,12a1) #313#703#621#616#6b9#380#6dd#621#380#6f3#
(1b5,3d3) (3ad,12a1) #199#207#df#109#1ad#7d#1f6#df#7d#381#
(b23,12a1) (1cbb,49a9) #50f#11b5#b8a#ed3#ed3#c8f#158#474#c7b#474#13e#
(57c5,626f) (3ad,12a1) #b2c#703#4cd5#5646#4ed7#390f#27c5#4cd5#390f#5f24#
(18ad,34d9) (3ad,12a1) #1721#7b4#6d7#3221#21fe#2083#ef0#6d7#2083#1ed#
(577,2953) (3ad,12a1) #8a9#ab1#1fc7#23f8#22c0#5f0#989#1fc7#5f0#6c2#
(79f,b7d) (3ad,12a1) #3bb#a5c#89b#1e4#24e#aca#197#89b#aca#896#
(f83,2707) (57c5,626f) #7ab#26d6#e39#251#26d6#a0b#2395#14b6#2395#4d3#1f21#
(390f,8653) (57c5,626f) #bc#5fa3#6c20#4f12#5fa3#46a6#377a#426c#377a#7c4#6492#
(cf1,2489) (1cbb,49a9) #6c4#69e#222b#17e2#17e2#1d5d#1841#e5c#1e7d#e5c#462#
(593,8d7) (3ad,12a1) #20c#84f#68c#276#b3#1b9#59b#68c#1b9#6d6#
(125f,6a55) (83b,b87) #60aa#3e14#1353#273d#1d67#273d#3e14#1350#43e2#
(5b57,7e8f) (3ad,12a1) #1f3a#7a95#3b66#6eb6#4da5#a17#4ed0#3b66#a17#275f#
(473,8b7) (57c5,626f) #ab#886#822#436#886#6a2#3c1#712#3c1#2c1#2f9#
(583,629) (83b,b87) #522#5dc#94#5d8#607#5d8#5dc#3ec#20f#
(a1b,2a0b) (83b,b87) #28d9#1154#1beb#12ec#25bd#12ec#1154#1108#127a#
(1bb9,799d) (83b,b87) #e87#2b06#1762#580e#57cf#580e#2b06#913#659e#
(1c8d,292d) (3ad,12a1) #897#1a7e#851#45c#2267#20ef#d18#851#20ef#1976#
(611,a6d) (1cbb,49a9) #2f2#174#3f9#2b5#2b5#15e#1ff#314#56d#314#689#
(259,6335) (83b,b87) #2195#1ec0#499c#2c74#2f68#2c74#1ec0#3660#4f5b#
(2993,57d7) (83b,b87) #38c7#9eb#54c9#529a#3cd8#529a#9eb#172a#354a#
(28e9,d3ed) (1cbb,49a9) #3cd7#329b#2110#aef7#aef7#bbd3#b463#730e#c1a2#730e#5d85#
(79a7,879d) (3ad,12a1) #5d58#5626#50f5#302b#a4e#7b88#393e#50f5#7b88#5f7c#
(148f,64fd) (3ad,12a1) #3494#b24#1cfa#5525#4657#6060#2a33#1cfa#6060#200d#
(371,d4b) (3ad,12a1) #571#248#31a#a7b#174#714#aed#31a#714#c03#
(2133,2ac7) (3ad,12a1) #24e5#214b#16cd#26b2#101f#613#1d3a#16cd#613#968#
(47,73d) (57c5,626f) #1d9#713#1b6#18d#713#335#5f4#4a5#5f4#4a6#14f#
(a33,21b9) (3ad,12a1) #a1e#db8#1840#1904#1b29#266#102a#1840#266#1879#
