(8d1,27cb) 3 0217b21ef9f6b4e536494d036c561a644ac73b7d096aed5cf8c6bc9f0caad8e4 58ee419b11642cac75a869bc472a064a6a385d84e81ca8b6e2248fc174dbd7f4
(469,1abf) (8db,195d) #c2b#bc9#1490#a52#19a3#19ce#ea5#188c#1490#1361#
(433,637) (19ed,4db9) #98#337#56f#26b#167#409#2bd#167#1c1#56f#4e3#
(341,9af) (2c0d,773b) #403#697#98#d4#5d2#565#4b4#4b4#120#2ce#549#
(13e5,1c37) (79,f7) #161d#14e1#147d#14c6#140e#14e1#1820#
(288f,3c25) (3c5,bff) #ab3#1e46#148c#2773#2c6#2acd#1af5#1af5#17f0#
(47ad,70db) (8db,195d) #2f7f#5802#6e78#1259#314a#5101#7c3#4b90#6e78#1afa#
(5ef,919) (126d,14ef) #3aa#426#61b#303#2d2#42a#426#6c7#373#330#7fd#
(12cb,3731) (19ed,4db9) #5a#bcc#32fa#1697#1614#2685#13ff#1614#167f#32fa#3022#
(557,d6f) (2c0d,773b) #5ae#c47#206#4c2#a55#b45#8b8#8b8#217#66f#967#
(8df,b17) (19ed,4db9) #29a#3af#696#1ec#e5#d8#4b8#e5#48#696#49#
(71f,3af1) (29d,877) #7c7#1a48#412#18a2#2c74#2cd7#1bdd#1bdd#26da#
(3829,56c5) (197,15e9) #2b2b#a6b#e0c#4ad8#4956#a6b#3c0a#20fb#e0c#1f90#
(3ca7,952f) (29d,877) #131d#f34#2a0b#9033#44a4#736d#13e#13e#8c1#
(19ed,4db9) (d1b,1403) #3ff6#49c6#26c0#3442#b48#26c0#377#3648#80c#4b34#
(205,ac9) (d1b,1403) #1f1#206#747#44b#8f#747#468#408#7b#31e#
(5d5,1b61) (db7,1295) #91f#dd0#15c5#a03#892#dbf#55a#366#1a43#1840#
(225b,3f2b) (3c5,bff) #388a#dc2#702#37d4#35c4#2ff3#1efa#1efa#172e#
(1be3,287b) (29d,877) #d28#5db#6e0#1d8d#82#137#720#720#27b9#
(197,15e9) (db7,1295) #6f7#28e#141c#14c4#b1#7d7#1488#8b2#158a#edc#
(43,22df) (db7,1295) #522#17cd#1692#11ce#143c#8f0#1b91#1bef#135e#12e1#
