(f85,1e3b) 3 16602986bc9cb2b3e829ad2f88a5cb2f591a66ea109b1598dfe5e8c00db2be34 5ba61a92197ccc8ff37e7a1a3414a152d7172271e022abc1d4bf79e77e7df18c
(2bf,913) (15d,6bf) #394#1d4#49f#12e#541#311#551#651#5b2#
(935,1249) (165b,36a3) #c57#8de#8a8#b84#2a4#265#e9b#8a8#28d#e9b#698#
(4b,b17) (15d,6bf) #9e0#5d0#833#27e#a7b#736#5fe#7a3#278#
(ab7,6af7) (165b,36a3) #2326#c1#d9c#4463#3e53#4faa#54fb#d9c#51d3#54fb#46b4#
(3a9,2f6b) (165b,36a3) #78b#1ad4#abf#2399#157#29cd#d39#abf#15f0#d39#1199#
(a63d,b251) (165b,36a3) #7ce6#8cfc#44#2b19#1efb#f08#7efe#44#2d92#7efe#5308#
(201,ed7) (15d,6bf) #4f2#3fe#1c3#53a#a3a#bfd#fb#41c#7a3#
(499,845) (165b,36a3) #371#31#11e#514#7f#7a6#33#11e#61#33#d7#
(1961,1be5) (caf,3709) #97e#1033#10cc#538#c59#9a7#83f#471#268#6e7#
(10d,42b) (23f,1627) #6b#275#e4#138#2c0#1e2#30c#275#2ec#3b9#
(1571,3af1) (45b9,4a63) #3ab2#1016#766#2675#2f95#3077#1016#334f#aea#10b5#f66#
(595,1b77) (165b,36a3) #335#d22#d1b#1a42#6ea#483#76a#d1b#958#76a#bd5#
(263,22cd) (23f,1627) #b59#1c1b#1fc1#123#10b6#183a#d66#1c1b#dd6#e40#
(bb9,64fd) (1571,3af1) #16b5#18b4#1f95#633e#18b4#fdc#47c6#5b90#66#18b4#1e8e#
(3923,460d) (13df,1c01) #1c90#3698#4416#3431#2e81#1ccd#3698#2ffd#3532#3698#3484#
(15e5,324d) (13df,1c01) #2e2d#31fb#1a18#ad7#207e#14da#31fb#2312#176b#31fb#1a49#
(10d7,1927) (1571,3af1) #74f#f5f#108a#e8d#f5f#101#8ec#fb4#126#f5f#bbc#
(e35,168b) (165b,36a3) #dd4#3f1#1287#9ba#b56#71#5ed#1287#6fb#5ed#664#
(5b39,60a7) (165b,36a3) #217#299b#347f#29c#3250#126d#2761#347f#375d#2761#91a#
(409,2579) (15d,6bf) #1efe#1f4d#179a#726#4e7#1e06#248f#1a55#b65#
(33c5,778f) (15d,6bf) #73e4#1e3d#529d#2e98#58ca#5b69#4495#5a4f#730a#
(4c03,aadb) (23f,1627) #98aa#24f#3d04#76e2#4178#896f#92bc#24f#292f#2294#
(11b,1295) (caf,3709) #10d6#ee7#e83#cd7#84f#e4e#148#102a#104c#7e6#
(27d1,46ab) (15d,6bf) #157e#3c36#384c#1ea2#13a3#157a#4321#3eb#1ab3#
(23f,1627) (45b9,4a63) #c75#a8e#9f0#8b0#745#f9f#a8e#7f6#ca2#125b#1b6#
(4d9,d4b) (45b9,4a63) #d21#be5#76a#b4#cb7#b62#be5#dc#69e#aee#c7e#
(479b,719b) (15d,6bf) #3a2c#6bb9#544#4e88#3c2b#4db1#4487#4f14#91a#
(c7f,1cab) (23f,1627) #e69#12b4#12b9#119c#223#68c#a2a#12b4#66b#ee5#
(15ad,286d) (23f,1627) #1669#fba#1d5a#1f62#2c0#fd7#1ace#fba#2258#1872#
(6ccf,74c5) (45b9,4a63) #6e05#156e#439a#12cd#617e#f33#156e#2dc2#1306#42d8#1e78#
(e71,330b) (165b,36a3) #495#19e#1e34#11a0#1bdf#a37#30f6#1e34#2207#30f6#270d#
(2b5,31f) (45b9,4a63) #4e#56#2d9#2a4#219#71#56#250#3f#275#17#
(15a3,2bdb) (caf,3709) #743#5e9#189e#a75#1334#9bd#1d78#1269#aaf#19d0#
(29fd,4fbd) (23f,1627) #3cb#443f#f16#41ab#11a2#44bf#ff7#443f#1d45#1fb#
