(1ec5,aeaf) (21e5,aeaf)
(72eb,c00b) (5b3,c00b)
(bcb,1751) (973,1751)
(1b6d,4fd5) (ffffffffffffdc75,4fd5)
(1037,2917) (767,2917)
(355,1e83) (fffffffffffff16d,1e83)
(68b,ec5) (fffffffffffffabb,ec5)
(175,15f1) (fffffffffffffb9d,15f1)
(8bf,bc5) (49b,bc5)
(6459,66d9) (ffffffffffffe269,66d9)
(617,1a65) (ffffffffffffffe7,1a65)
(bb,1e1) (43,1e1)
(ae5,cd7) (fffffffffffffdad,cd7)
(1a8f,1c01) (fffffffffffffa97,1c01)
(3e81,495b) (ffffffffffffdc11,495b)
(1773,9415) (429f,9415)
(132d,547f) (865,547f)
(23b,199d) (fffffffffffff9b3,199d)
(1f8b,2437) (503,2437)
(2f69,3cfb) (1619,3cfb)
(12c1,1759) (93d,1759)
(509,5ec1) (1c01,5ec1)
(8e9,1e3b) (fffffffffffff881,1e3b)
(604d,9485) (ffffffffffffd485,9485)
(419,7b1) (fffffffffffffe51,7b1)
(3461,573b) (eb1,573b)
(ab5,112f) (84d,112f)
(361,44f5) (1fa5,44f5)
(ab55,bb19) (ffffffffffffa679,bb19)
(46f7,4db9) (9c7,4db9)
(907,114d) (fffffffffffffddf,114d)
(71f,3cc1) (fffffffffffff43b,3cc1)
(77fb,7a8d) (10f3,7a8d)
(347f,404f) (11cf,404f)
(f5f,5c95) (297f,5c95)
(5923,63f7) (1d23,63f7)
(2a7f,5a59) (ffffffffffffd70f,5a59)
(459,87d) (fffffffffffffc29,87d)
(c59,14d1) (29,14d1)
(ce5,3eed) (120d,3eed)
(121f,2699) (6df,2699)
(661,22df) (fffffffffffff3a1,22df)
(e9,1b5) (11,1b5)
(903b,a07f) (ffffffffffffea63,a07f)
(7115,9607) (ffffffffffffc23d,9607)
(4135,454d) (9d,454d)
(435b,47e7) (17f3,47e7)
(1a9b,91cf) (2683,91cf)
(593,1e7f) (fffffffffffff67b,1e7f)
(29b9,6f01) (16f9,6f01)
(1247,43d3) (fffffffffffffa77,43d3)
(517d,773b) (3215,773b)
(17e5,1abf) (fffffffffffff9cd,1abf)
(cf,6af) (fffffffffffffd07,6af)
(9e3,10f7) (ffffffffffffff1b,10f7)
(265,2d83) (13d5,2d83)
(5bd,d6f) (365,d6f)
(14ef,ea55) (ffffffffffffa843,ea55)
(547,5ed) (277,5ed)
(10d,39b) (fffffffffffffeb5,39b)
(84d,c7d) (5e9,c7d)
(3fd,2569) (745,2569)
(909,5743) (2889,5743)
(1903,3f47) (3eb,3f47)
(3233,61bd) (222f,61bd)
